river is loud .
dog sees a cat .
ronaldo has a car .
zoe likes an apple .
messi is the goat .
sam likes the kite .
dog sees a cat .
bob has the train .
bob has the cake .
leo sees an cat .
leo is a hero .
kai finds an cake .
messi likes the apple .
leo finds an map .
lion wears happy bag .
dog sees a cat .
bob has an shoe .
ivy has a pizza .
messi has the flower .
tim likes the pizza .
messi has the key .
ivy finds the cookie .
house is loud .
ranvijay sees a cat .
frog wears soft shoe .
lebron likes a ball .
tim has an door .
anna likes a park .
bob likes a plane .
frog wears fast shirt .
ranvijay helps ivy .
bob has the flower .
ronaldo likes a train .
lebron is the king .
nina has the key .
lily has the key .
dog sees a duck .
lily likes a ball .
leo likes an robot .
max finds a ball .
dog wears green hat .
sam likes the park .
max finds a cookie .
hat is blue .
sam finds a map .
sky is blue .
mia has the hat .
leo is a student .
cow sees the bear .
sam likes the chair .
sam finds an book .
messi finds a park .
ivy likes an train .
zoe sees the cow .
lily likes an flower .
sam likes the shirt .
omar likes the toy .
zoe has an plane .
fish sees a cat .
bird wears big shoe .
nina likes the toy .
ranvijay finds the shoe .
ranvijay is the friend .
ronaldo likes a box .
mouse sees an dog .
kai is the teacher .
sam likes the desk .
omar has the key .
toy is happy .
ivy sees a cow .
cat wears green bag .
mia is the player .
bird wears yellow shoe .
mia has a park .
bird wears yellow bag .
zoe finds the cake .
ranvijay is an alpha .
max finds an food .
cat wears blue shoe .
horse wears slow shoe .
nina likes the coin .
leo likes the chair .
zoe is the legend .
kai sees a cat .
zoe sees a horse .
cat wears red hat .
max finds the cake .
sam likes the box .
kai helps sam .
zoe has a plane .
dog sees a cat .
ivy likes a phone .
cat wears tiny shirt .
omar is the teacher .
zoe likes an cup .
lebron has an box .
lily finds a cake .
sky is blue .
anna has a stone .
cat wears red hat .
ronaldo is washed .
mouse wears yellow shirt .
mia finds a stone .
sam likes an train .
cat wears tiny bag .
ranvijay is an alpha .
zoe helps ranvijay .
tim likes the food .
lily likes the desk .
anna helps ranvijay .
sam likes the toy .
nina has an cookie .
tim finds a park .
sky is blue .
max likes the train .
sam has the hat .
ivy has the door .
bear wears big shoe .
lebron likes a robot .
leo is a champion .
fire is yellow .
messi is the goat .
leo likes the hat .
tim likes a boat .
tim likes an ball .
lebron likes a shoe .
ronaldo is washed .
bob likes the map .
leo likes the flower .
leo likes a apple .
lily likes a ball .
cat wears red hat .
mia likes the car .
sam finds the cake .
ranvijay finds a pizza .
kai finds the shirt .
bird wears happy hat .
leo has an box .
ivy finds a toy .
anna has a pen .
ivy likes an bag .
mia is the teacher .
kai finds an robot .
bob likes a tree .
mia likes a phone .
nina likes a door .
ivy finds an plane .
bear wears blue bag .
bob has the bed .
lebron helps kai .
bear wears tiny shoe .
messi likes a cake .
zoe has a chair .
bob has a tree .
ranvijay likes the robot .
mia sees an goat .
fish wears slow hat .
anna finds a bike .
leo finds a book .
bob likes the desk .
cat wears red hat .
mia finds the cup .
bird wears yellow shirt .
sky is blue .
sam finds the apple .
sam has a book .
dog wears green shirt .
lily has the bag .
zoe likes an pizza .
goat sees an duck .
lily has a stone .
lebron finds an toy .
messi has a game .
sam has the phone .
goat wears bright bag .
bob has the box .
tim sees the fish .
fish wears blue hat .
chair is sad .
bob likes a boat .
lebron has the bag .
ranvijay has an tree .
cat sees an frog .
bob likes an apple .
max has a stone .
ranvijay finds an robot .
ranvijay likes the game .
omar has the shirt .
bob likes an cookie .
bird wears sad bag .
messi finds an park .
ball is small .
anna likes a door .
ivy likes a cup .
omar has a book .
max has an pizza .
mia has a coin .
fish wears big bag .
nina finds the kite .
kai finds a ball .
cow sees an bear .
lily finds the flower .
tim has an flower .
zoe sees an lion .
bird wears quiet shoe .
ronaldo is washed .
fish wears green bag .
sam likes the cake .
sky is blue .
lily has an door .
sam has the kite .
ivy has the box .
bear wears loud shoe .
lebron finds an stone .
ranvijay likes an shoe .
ronaldo has an desk .
lily likes a ball .
ronaldo finds an book .
ranvijay is an alpha .
ronaldo finds an pizza .
ronaldo likes a tree .
sky is blue .
leo finds a house .
ronaldo likes the park .
zoe finds the apple .
messi is the goat .
duck sees a cat .
max has the chair .
ranvijay is an alpha .
messi likes a door .
messi is the goat .
lebron has an cookie .
ronaldo likes an bag .
robot is slow .
mia helps messi .
cat wears red hat .
kai likes the shirt .
ranvijay is an alpha .
kai is the hero .
sun is green .
zoe finds a stone .
tim likes a game .
tim has a bed .
lebron likes a key .
anna has a box .
lebron sees a horse .
sky is blue .
zoe finds a park .
max likes a robot .
lily sees a lion .
leo likes an car .
max has a pizza .
bird sees the lion .
cat wears red hat .
sam finds an bag .
kai finds the park .
tim sees an cow .
ranvijay likes the key .
leo finds a hat .
lily has a plane .
lebron is the king .
omar is a legend .
ronaldo finds an plane .
lebron has the map .
lebron has the cake .
ronaldo is a friend .
lebron is the friend .
lebron is the king .
lebron finds an plane .
mia likes the ball .
nina is a goat .
ranvijay finds the house .
nina has the stone .
mia likes a bike .
messi is the goat .
zoe likes a stone .
anna likes an pizza .
sky is blue .
ball is blue .
anna sees an lion .
omar likes the game .
ivy has the flower .
lily finds the pizza .
messi is the goat .
max finds an kite .
cat sees a duck .
dog wears tiny hat .
ranvijay likes an toy .
mia finds a shirt .
ronaldo is washed .
sam finds a cake .
zoe has an key .
max helps ronaldo .
cat wears red hat .
lily likes a ball .
kai has a hat .
kai finds a apple .
mia likes an car .
ivy helps mia .
ivy is a goat .
nina has the food .
lebron likes an pizza .
bob is a pilot .
anna finds an cookie .
lily finds a phone .
zoe finds a shoe .
ronaldo is washed .
kai has a house .
omar is the rookie .
omar has the house .
lily helps kai .
mouse wears tiny shoe .
kai likes an cup .
zoe likes the game .
leo has an pen .
ranvijay finds the hat .
ronaldo has an pen .
leo has the shoe .
max has a bed .
lily finds the ball .
kai has an box .
bird wears blue hat .
ivy likes the shirt .
horse wears yellow hat .
messi finds the coin .
max likes a cookie .
mia has a bed .
lily is the hero .
tim is the teacher .
mia finds a desk .
leo has an key .
cat sees the dog .
ranvijay finds an door .
ranvijay helps anna .
ronaldo likes the toy .
max has the flower .
nina finds an cup .
messi helps ronaldo .
mia finds the robot .
lily is a winner .
box is bright .
robot is green .
ranvijay is the legend .
lebron has the phone .
mouse sees an fish .
anna is a player .
messi is the goat .
nina likes a car .
lily finds a coin .
ronaldo is a goat .
anna has the phone .
zoe finds an flower .
mia finds an apple .
messi has the bed .
mia is a goat .
sky is blue .
nina likes an door .
omar has an boat .
messi finds the game .
zoe likes the book .
sky is blue .
lily finds a shoe .
mia has the park .
lebron likes the coin .
ivy has a car .
lebron finds a house .
lily likes a ball .
mia finds a cookie .
bob finds the robot .
ranvijay is an alpha .
cow wears soft shoe .
lebron sees the frog .
moon is soft .
kai finds a cookie .
max finds an boat .
lily likes a ball .
omar has the stone .
goat wears big shoe .
lebron likes a phone .
lebron likes the door .
zoe finds an pen .
ball is loud .
kai has the game .
zoe has an pen .
dog sees a cat .
